File,Lines Covered,Lines Total,Lines %,Functions Covered,Functions Total,Functions %,Branches Covered,Branches Total,Branches %
src/App.tsx,13,16,81.25,4,5,80.00,1,4,25.00
src/index.tsx,0,2,0.00,0,0,,0,0,
src/admin/AdminContext.tsx,5,5,100.00,1,3,33.33,0,0,
src/admin/AdminMenu.tsx,0,17,0.00,0,9,0.00,0,4,0.00
src/admin/AdminRoute.tsx,18,38,47.37,4,8,50.00,10,22,45.45
src/admin/pages/announcements/Main.tsx,0,34,0.00,0,15,0.00,0,10,0.00
src/admin/pages/announcements/components/AnnouncementCard.tsx,0,15,0.00,0,5,0.00,0,7,0.00
src/admin/pages/announcements/components/CreateAnnouncementModal.tsx,1,43,2.33,0,7,0.00,0,20,0.00
src/admin/pages/announcements/components/EditAnnouncementModal.tsx,1,19,5.26,0,3,0.00,0,5,0.00
src/admin/pages/badges/Main.tsx,0,10,0.00,0,5,0.00,0,16,0.00
src/admin/pages/badges/components/AssignCustomBadgeModal.tsx,1,47,2.13,0,14,0.00,0,19,0.00
src/admin/pages/badges/components/CreateCustomBadgeModal.tsx,1,25,4.00,0,5,0.00,0,9,0.00
src/admin/pages/badges/components/CustomBadgeTable.tsx,1,25,4.00,0,6,0.00,0,12,0.00
src/admin/pages/badges/components/EditCustomBadgeModal.tsx,1,18,5.56,0,2,0.00,0,4,0.00
src/admin/pages/badges/components/EditSystemBadgeModal.tsx,1,42,2.38,0,10,0.00,0,31,0.00
src/admin/pages/badges/components/SystemBadgeTable.tsx,1,25,4.00,0,10,0.00,0,9,0.00
src/admin/pages/home/Main.tsx,1,2,50.00,0,1,0.00,0,0,
src/admin/pages/home/components/AnnouncementSection.tsx,6,9,66.67,1,4,25.00,4,8,50.00
src/admin/pages/home/components/NoteSection.tsx,6,15,40.00,1,7,14.29,2,6,33.33
src/admin/pages/home/components/RoomsOverview.tsx,0,9,0.00,0,5,0.00,0,2,0.00
src/admin/pages/login/Main.tsx,21,27,77.78,4,6,66.67,8,12,66.67
src/admin/pages/participants/Main.tsx,0,10,0.00,0,3,0.00,0,16,0.00
src/admin/pages/participants/components/AddParticipantCard.tsx,1,21,4.76,0,7,0.00,0,7,0.00
src/admin/pages/participants/components/EditParticipantCard.tsx,0,56,0.00,0,6,0.00,0,59,0.00
src/admin/pages/participants/components/EditPastParticipantCard.tsx,0,24,0.00,0,2,0.00,0,18,0.00
src/admin/pages/participants/components/EmptyRoomCard.tsx,0,4,0.00,0,3,0.00,0,2,0.00
src/admin/pages/participants/components/OccupiedRoomCard.tsx,1,7,14.29,0,3,0.00,0,2,0.00
src/admin/pages/participants/components/PastParticipantTable.tsx,8,14,57.14,1,4,25.00,2,11,18.18
src/admin/pages/reports/Main.tsx,0,11,0.00,0,3,0.00,0,10,0.00
